subject,condition,freqBandPowerThetaFz,freqBandPowerAlphaMean,freqBandPowerAlphaPz,freqBandPowerAlphaP1,freqBandPowerAlphaP2,freqBandPowerAlphaP3,freqBandPowerAlphaP4
sub-098,memory,2.690705,1.945073,2.482312,1.727184,2.354576,1.266689,1.894602
sub-098,control,2.555606,1.788449,2.364830,1.649985,2.158285,1.186901,1.582244
sub-097,memory,-2.922264,-7.921377,-8.185441,-8.220309,-8.557892,-7.102963,-7.540277
sub-097,control,-2.690079,-8.035753,-8.385690,-8.502920,-8.574975,-7.460141,-7.255038
sub-096,memory,3.942149,-1.929125,-3.131241,-2.673556,-2.421989,-0.736454,-0.682387
sub-096,control,3.772756,-0.864408,-1.636610,-1.676201,-0.709939,-0.628754,0.329464
sub-095,memory,5.482345,7.169017,7.017072,6.063273,7.528166,6.299516,8.937059
sub-095,control,4.046159,6.366922,6.331606,5.262932,6.719584,5.504237,8.016251
sub-093,memory,-0.226386,-7.049145,-7.241520,-7.490384,-7.091482,-6.438878,-6.983459
sub-093,control,-1.401982,-5.842572,-6.261384,-6.509351,-6.105842,-4.227451,-6.108834
sub-092,memory,4.320346,6.911954,6.328221,6.801575,6.653678,6.364610,8.411687
sub-092,control,3.835482,6.424662,6.245125,7.480695,6.063815,5.640684,6.692988
sub-091,memory,3.644171,5.923947,6.761439,5.984964,6.112004,4.999014,5.762317
sub-091,control,3.500183,4.511070,5.277631,4.397063,4.788980,3.530568,4.561111
sub-090,memory,-0.269163,5.791399,5.819078,6.001664,5.816695,5.732605,5.586954
sub-090,control,-0.783345,4.724011,4.653018,5.150659,4.641646,5.047863,4.126869
sub-089,memory,4.992201,6.079206,6.048366,7.016671,5.201052,6.460943,5.668998
sub-089,control,4.190067,6.724435,6.842741,7.728794,5.923007,6.861618,6.266017
sub-088,memory,3.753949,4.412549,4.457052,3.358788,5.267720,4.355532,4.623655
sub-088,control,2.905374,4.036208,4.129368,2.957963,4.845055,4.491867,3.756786
sub-087,memory,3.068334,-0.012221,0.082279,-0.303689,0.102264,-0.690223,0.748262
sub-087,control,2.238852,-0.658332,-0.604844,-1.082991,-0.624724,-1.227170,0.248069
sub-086,memory,2.485390,-1.020068,-0.170267,-0.821918,-0.849637,-2.058219,-1.200301
sub-086,control,1.567019,0.212700,0.472207,0.113411,0.259118,-0.337374,0.556140
sub-085,memory,2.524225,-4.435053,-4.383910,-4.668954,-5.214226,-2.886500,-5.021676
sub-085,control,1.993661,-3.642631,-3.719106,-3.766701,-4.538258,-1.806932,-4.382160
sub-084,memory,0.369553,7.959364,8.298866,7.917961,7.549223,9.494059,6.536710
sub-084,control,1.637774,3.132069,3.426935,2.592174,2.967271,3.255534,3.418430
sub-083,memory,2.373250,0.648794,1.148154,-0.008210,0.467002,0.146365,1.490659
sub-083,control,2.628063,0.917505,1.383341,0.379368,0.631581,0.641930,1.551306
sub-082,memory,4.714938,5.333159,3.831120,4.755729,5.007362,6.073199,6.998384
sub-082,control,3.672084,5.453748,3.957990,5.102707,5.015303,6.446644,6.746098
sub-081,memory,6.954964,7.725857,7.964596,7.473576,7.748589,7.437012,8.005511
sub-081,control,5.827209,6.905323,7.360718,6.756289,6.856649,6.697360,6.855601
sub-080,memory,0.032669,1.149209,1.208739,-0.134425,2.317612,-0.889769,3.243888
sub-080,control,0.418651,-1.192114,-1.406688,-1.229776,-1.630731,-0.645983,-1.047393
sub-079,memory,0.220003,0.039918,0.000000,0.271773,0.260828,-0.404420,0.071408
sub-079,control,-0.271619,0.627929,0.000000,1.297056,1.027389,0.236024,0.579177
sub-078,memory,1.597695,-2.791684,-3.320404,-3.327485,-2.921764,-3.683854,-0.704915
sub-078,control,0.702860,-2.848531,-3.278863,-3.277824,-3.235423,-3.203268,-1.247277
sub-077,memory,3.434698,-1.126118,-0.910083,-1.416532,-1.632839,-0.079333,-1.591801
sub-077,control,2.678742,-0.862172,-0.676440,-1.033355,-1.693907,0.738021,-1.645179
sub-076,memory,1.400538,0.024080,-0.260703,-0.106315,0.052636,0.334359,0.100425
sub-076,control,1.536153,-2.071016,-2.247730,-2.362953,-2.404380,-1.223754,-2.116263
sub-075,memory,2.306579,3.316007,3.066766,3.271456,2.634543,4.392321,3.214947
sub-075,control,2.242718,4.131086,4.089360,4.037588,3.579512,4.624912,4.324057
sub-074,memory,2.579762,-2.870767,-3.001974,-3.795592,-2.782895,-2.612833,-2.160543
sub-074,control,0.051411,-1.002194,-1.250900,-2.055738,-1.171883,-0.973000,0.440553
sub-073,memory,3.466024,6.463651,6.170250,6.281416,6.430054,6.509981,6.926556
sub-073,control,3.247833,6.069492,5.836069,5.743137,6.168697,5.936891,6.662665
sub-072,memory,3.088448,-4.957329,-5.906724,-7.158324,-6.255610,0.574026,-6.040010
sub-072,control,1.756282,-5.710171,-6.372101,-7.363087,-6.684217,-2.068411,-6.063042
sub-071,memory,2.169967,1.527448,2.015357,1.171958,1.396418,1.348568,1.704941
sub-071,control,2.884886,1.620512,2.153316,1.423866,1.438686,1.453136,1.633554
sub-070,memory,5.968693,4.861381,4.303776,4.220402,4.466452,5.355832,5.960444
sub-070,control,5.626167,4.361798,3.746406,3.708908,3.879713,5.157673,5.316291
sub-069,memory,7.193493,3.144028,3.377314,2.882003,3.443724,3.590568,2.426534
sub-069,control,5.565546,2.130806,2.500845,2.297702,2.213323,2.355649,1.286512
sub-068,memory,4.047062,6.725732,6.597227,6.493297,6.500720,6.211965,7.825450
sub-068,control,3.742438,7.504902,7.643162,7.359015,7.421812,6.876499,8.224022
sub-067,memory,-3.215568,-6.711874,-6.444197,-7.004514,-7.060126,-6.930662,-6.119871
sub-067,control,-3.362654,-6.901668,-6.706510,-7.080607,-7.352783,-7.011047,-6.357391
sub-065,memory,0.376037,0.340384,-0.173639,-0.247893,-0.046344,0.646759,1.523036
sub-065,control,0.797275,0.557939,0.066224,0.040553,0.270083,0.777460,1.635375
sub-064,memory,-1.665810,-5.188667,-5.398141,-5.991873,-5.632069,-3.319677,-5.601575
sub-064,control,-2.010697,-5.328844,-5.296763,-5.770856,-5.491298,-4.648908,-5.436395
sub-062,memory,4.071636,2.784441,1.707764,2.893803,2.442669,3.484213,3.393756
sub-062,control,5.509201,4.356781,3.639502,4.004559,3.753386,5.740542,4.645917
sub-061,memory,0.210838,-3.736493,-2.911741,-2.558957,-4.320017,-3.552225,-5.339525
sub-061,control,1.050620,-1.702874,-1.884928,-1.609544,-2.748820,-1.597056,-0.674024
sub-060,memory,1.304715,-2.589789,-3.113960,-2.774252,-2.562709,-2.527669,-1.970354
sub-060,control,1.528611,-1.444091,-2.220862,-1.825247,-1.202410,-1.389631,-0.582305
sub-059,memory,0.712141,-0.503587,0.449836,-0.096854,-0.748701,0.068143,-2.190361
sub-059,control,0.791081,-0.498567,0.519910,-0.044080,-0.744577,-0.021462,-2.202629
sub-058,memory,0.569766,-2.035985,-1.024795,-1.609583,-2.743472,-2.061935,-2.740141
sub-058,control,0.972534,-2.424461,-2.115681,-2.760539,-2.427077,-3.007143,-1.811865
sub-057,memory,0.936453,-3.596641,-2.429216,-3.516526,-3.670056,-4.198568,-4.168838
sub-057,control,-0.391909,-3.411233,-3.034805,-3.949751,-3.394394,-3.819371,-2.857841
sub-056,memory,2.443551,5.382922,5.193477,5.360994,5.314970,5.501538,5.543631
sub-056,control,2.584092,4.745793,4.442031,4.564928,4.781319,4.824575,5.116115
sub-055,memory,-0.468399,-4.360053,-4.612294,-4.581941,-5.637766,-1.784384,-5.183882
sub-055,control,-0.633805,-4.160952,-4.374665,-4.150919,-4.871315,-3.404289,-4.003575
sub-054,memory,1.794395,4.020555,3.238745,3.442604,4.207104,3.616201,5.598121
sub-054,control,1.519308,4.579662,3.443897,4.172082,4.401538,5.241653,5.639141
sub-053,memory,6.003507,7.405093,8.229906,6.703495,7.899025,6.278182,7.914856
sub-053,control,5.581978,7.248560,8.063546,6.584414,7.640914,6.447761,7.506165
sub-051,memory,1.674048,2.154790,2.724317,1.328149,2.518499,1.508422,2.694562
sub-051,control,1.926640,2.637239,3.186412,1.968788,3.398564,1.277156,3.355274
sub-050,memory,7.078366,4.268851,4.475693,3.537321,4.691473,3.379944,5.259825
sub-050,control,5.182791,4.794196,5.203657,4.211615,5.245339,3.839571,5.470800
sub-049,memory,-0.526602,-0.550716,-0.477097,-1.040229,-0.102902,-1.568039,0.434688
sub-049,control,2.167291,-1.444597,-1.613431,-1.326353,-1.932788,-0.463872,-1.886541
sub-047,memory,3.371036,-0.212473,0.535752,0.045411,-0.497551,-0.363634,-0.782344
sub-047,control,1.472279,1.186313,1.929240,1.113159,1.280908,0.614979,0.993276
sub-046,memory,2.336364,0.553451,0.936907,0.433304,0.054735,0.263499,1.078811
sub-046,control,1.929038,-0.660977,-0.263034,-0.853844,-1.153634,-0.774066,-0.260306
sub-045,memory,1.545742,-0.284931,0.074290,-0.261445,-0.283557,-0.083203,-0.870739
sub-045,control,3.283221,0.945990,1.865821,0.942270,1.060077,0.644518,0.217262
sub-044,memory,2.623841,2.146600,2.144444,1.326256,1.570827,3.033999,2.657474
sub-044,control,2.090427,3.142610,2.792268,1.503682,2.496487,5.312365,3.608248
sub-043,memory,6.973673,4.573468,5.091012,4.365768,4.900787,3.973453,4.536320
sub-043,control,4.780022,4.338454,4.765283,4.119621,4.509378,4.047230,4.250757
sub-042,memory,1.426856,-3.482485,-4.478070,-4.011579,-4.082686,-1.886568,-2.953525
sub-042,control,0.954407,-2.352928,-3.538063,-3.022842,-3.044480,-0.551352,-1.607901
sub-041,memory,0.453186,4.506195,4.904895,4.532458,4.269204,4.730038,4.094382
sub-041,control,0.389578,3.168898,3.484878,3.228483,2.713423,4.076687,2.341021
sub-040,memory,5.894331,7.937837,8.777163,8.035755,7.835439,7.794815,7.246011
sub-040,control,5.975768,7.826385,8.436924,7.521540,7.811949,7.854193,7.507319
