subject,condition,freqBandPowerThetaFz,freqBandPowerAlphaMean,freqBandPowerAlphaPz,freqBandPowerAlphaP1,freqBandPowerAlphaP2,freqBandPowerAlphaP3,freqBandPowerAlphaP4
sub-098,lowMemory,2.826768,1.912249,2.456475,1.629280,2.379529,1.162653,1.933309
sub-098,highMemory,2.503231,1.982185,2.511943,1.843904,2.321926,1.390852,1.842301
sub-098,lowControl,2.406767,1.795553,2.390931,1.669984,2.189256,1.151842,1.575754
sub-098,highControl,2.727344,1.769717,2.323843,1.617036,2.106483,1.221263,1.579959
sub-097,lowMemory,-2.935951,-7.745162,-8.070838,-7.996391,-8.356169,-6.971258,-7.331155
sub-097,highMemory,-2.903726,-8.256911,-8.402177,-8.638371,-8.940491,-7.345409,-7.958106
sub-097,lowControl,-1.581255,-7.936438,-8.392067,-8.506956,-8.453135,-7.300576,-7.029458
sub-097,highControl,-3.902060,-8.146524,-8.385982,-8.530742,-8.700602,-7.644668,-7.470626
sub-095,lowMemory,5.315042,7.118719,7.010340,5.961048,7.553924,6.158896,8.909385
sub-095,highMemory,5.768294,7.248468,7.022768,6.239258,7.469680,6.541094,8.969540
sub-095,lowControl,4.043083,6.082187,6.124387,4.956682,6.497268,5.021318,7.811277
sub-095,highControl,4.045280,6.670507,6.566254,5.590379,6.967290,5.989383,8.239230
sub-093,lowMemory,-0.310385,-7.007444,-7.109779,-7.417806,-6.917017,-6.660810,-6.931807
sub-093,highMemory,-0.205154,-7.072175,-7.297067,-7.520483,-7.163991,-6.371822,-7.007514
sub-093,lowControl,-2.450319,-5.616693,-6.060743,-6.303806,-5.865130,-3.974747,-5.879038
sub-093,highControl,-0.037506,-6.417287,-6.771349,-6.997879,-6.701235,-4.965974,-6.649997
sub-092,lowMemory,3.978160,7.082437,6.612368,6.858475,6.952527,6.453266,8.535549
sub-092,highMemory,4.731521,6.624325,5.859315,6.653970,6.162845,6.227796,8.217697
sub-092,lowControl,3.954943,6.377262,6.127763,7.196348,6.026928,5.686195,6.849074
sub-092,highControl,3.587218,6.452244,6.392592,7.924244,6.081154,5.515411,6.347817
sub-091,lowMemory,3.417798,6.048078,6.929044,6.072926,6.311405,5.014893,5.912121
sub-091,highMemory,3.953498,5.699889,6.464650,5.821962,5.760865,4.953115,5.498852
sub-091,lowControl,3.146838,4.051637,4.665535,3.835897,4.356526,3.096931,4.303297
sub-091,highControl,3.747754,4.820287,5.684003,4.769690,5.082682,3.826827,4.738232
sub-090,lowMemory,-0.533082,5.926878,5.961377,6.185561,5.963408,5.908084,5.615960
sub-090,highMemory,0.122500,5.520556,5.539072,5.640974,5.528696,5.381902,5.512138
sub-090,lowControl,-0.651709,4.818210,4.742997,5.247772,4.736025,5.090969,4.273287
sub-090,highControl,-0.919329,4.628702,4.558781,5.052521,4.543775,5.002096,3.986338
sub-089,lowMemory,4.765150,6.253077,6.175696,7.177152,5.363464,6.616980,5.932094
